symptoms,doctor_specialty
"excessive thirst, fatigue",Endocrinologist
"cold intolerance, excessive thirst, heat intolerance",Endocrinologist
"fever, panic attacks, depressed mood",Psychiatrist
"body ache, chills, cold",General Physician
"dizziness, blood in urine, lower abdominal pain",Urologist
"heartburn, bloating, nausea",Gastroenterologist
"fatigue, fever, body ache",General Physician
"bone pain, limited range of motion, muscle weakness",Orthopedist
constipation,Gastroenterologist
"sore throat, headache",ENT Specialist
"weight gain, wheezing, chest tightness, coughing blood",Pulmonologist
"nausea, loss of appetite, mild headache",General Physician
"sore throat, runny nose, ear pain",ENT Specialist
eye pain,Ophthalmologist
"sneezing, itchy eyes, hives",Allergist/Immunologist
"headache, chills",General Physician
"penile discharge, frequent urination",Urologist
"body ache, fatigue, sore throat",General Physician
"fever, cold",General Physician
"mood swings, anxiety, suicidal thoughts",Psychiatrist
"high blood pressure, fainting, shortness of breath, dizziness",Cardiologist
"mild headache, headache, loss of appetite, foamy urine",General Physician
"heartburn, diarrhea, nausea",Gastroenterologist
"sudden vision loss, eye pain, fever",Ophthalmologist
"ear pain, weight gain, hoarseness",ENT Specialist
"blood in urine, weight gain, swelling of feet, reduced urine output",Nephrologist
"frequent urination, breast lump",Endocrinologist
"loss of appetite, mild headache, fever, headache",General Physician
"redness, hives, seizures",Dermatologist
"blisters, acne, hives, skin rash",Dermatologist
"fainting, chest pain, heavy bleeding",Cardiologist
"eye pain, fever",Ophthalmologist
"fever, floaters",Ophthalmologist
eye pain,Ophthalmologist
"persistent cough, coughing blood, shortness of breath",Pulmonologist
anxiety,Psychiatrist
"loss of appetite, sore throat, nausea, runny nose, body ache",General Physician
"skin rash, hives, itching",Dermatologist
"blurred vision, sudden vision loss, floaters",Ophthalmologist
"weakness, dizziness",Neurologist
"fever, blood in urine",Urologist
fainting,Cardiologist
swelling after exposure,Allergist/Immunologist
"hearing loss, tinnitus, runny nose",ENT Specialist
"reduced urine output, swelling of feet",Nephrologist
"foamy urine, high creatinine, swelling of feet, blood in urine",Nephrologist
"recurrent lung infections, shortness of breath",Pulmonologist
"redness, scaly patches, hair loss",Dermatologist
"excessive thirst, cold intolerance, weight gain, heat intolerance",Endocrinologist
"mood swings, depressed mood",Psychiatrist
"seizures, fever, loss of consciousness, numbness",Neurologist
"nausea, mild headache",General Physician
"wheezing, shortness of breath, coughing blood, weight gain",Pulmonologist
"fatigue, sore throat, body ache",General Physician
"tinnitus, fatigue",ENT Specialist
"hearing loss, runny nose, hoarseness",ENT Specialist
"recurrent lung infections, wheezing, coughing blood",Pulmonologist
"runny nose, fatigue, cold, mild headache",General Physician
"weight gain, fatigue",Endocrinologist
"cough, fever, body ache",General Physician
"fatigue, nausea, cough",General Physician
"mood swings, insomnia, suicidal thoughts",Psychiatrist
muscle weakness,Orthopedist
"hoarseness, runny nose",ENT Specialist
"blood in urine, burning urination, fever",Urologist
depressed mood,Psychiatrist
"seizures, slurred speech, memory loss",Neurologist
"chills, sore throat",General Physician
"constipation, bloating",Gastroenterologist
headache,General Physician
"headache, vomiting, abdominal pain",Gastroenterologist
"mild headache, cough, loss of appetite",General Physician
"irregular periods, breast lump, pelvic pain, vaginal discharge",Gynecologist
"frequent urination, unexplained weight loss, cold intolerance",Endocrinologist
"coughing blood, weight gain",Pulmonologist
"wheezing, hives, sneezing, swelling after exposure",Allergist/Immunologist
"diarrhea, heartburn, abdominal pain",Gastroenterologist
"watering eyes, blurred vision, floaters",Ophthalmologist
"hallucinations, fever, depressed mood",Psychiatrist
"breast lump, heavy bleeding, vaginal discharge",Gynecologist
"sore throat, runny nose, mild headache",General Physician
"sore throat, headache, loss of appetite",General Physician
"lower abdominal pain, penile discharge, burning urination, frequent urination",Urologist
"penile discharge, burning urination",Urologist
"eye pain, floaters, sudden vision loss",Ophthalmologist
"seizures, loss of consciousness, burning urination",Neurologist
"sore throat, weight gain, runny nose",ENT Specialist
"heartburn, weight gain, blood in stool",Gastroenterologist
"swelling of legs, sweating",Cardiologist
"cold, fatigue, runny nose, sore throat",General Physician
"chills, mild headache, nausea",General Physician
"menstrual cramps, irregular periods",Gynecologist
"limited range of motion, back pain, muscle weakness",Orthopedist
"burning urination, blood in urine",Urologist
"weight gain, ear pain, hives",ENT Specialist
"headache, fatigue, runny nose, loss of appetite",General Physician
sweating,Cardiologist
diarrhea,Gastroenterologist
stiffness,Orthopedist
diarrhea,Gastroenterologist
"heavy bleeding, menstrual cramps, vaginal discharge",Gynecologist
"runny nose, nausea, mild headache, cough",General Physician
"fever, eye discharge, red eye, memory loss",Ophthalmologist
"body ache, cough",General Physician
"wheezing, runny nose",Allergist/Immunologist
"runny nose, sore throat, eye pain",General Physician
"sore throat, headache, body ache",General Physician
"chest tightness, persistent cough, painful periods",Pulmonologist
"vomiting, abdominal pain, headache",Gastroenterologist
"runny nose, sore throat, cold",General Physician
"muscle weakness, stiffness",Orthopedist
"vaginal discharge, painful periods, heavy bleeding",Gynecologist
"cough, fatigue, cold, nausea",General Physician
"wheezing, weight gain, fainting",Pulmonologist
cough,General Physician
"unexplained weight loss, frequent urination, heat intolerance",Endocrinologist
nausea,Gastroenterologist
"chest pain, high blood pressure",Cardiologist
"chills, runny nose, body ache, cough",General Physician
"runny nose, cold, chills, mild headache",General Physician
"high blood pressure, radiating arm pain, palpitations, sweating",Cardiologist
"ear pain, tinnitus",ENT Specialist
"blisters, acne, fever",Dermatologist
"high blood pressure, radiating arm pain, palpitations, fainting",Cardiologist
"suicidal thoughts, anxiety, insomnia, mood swings",Psychiatrist
"blurred vision, floaters, fever, watering eyes",Ophthalmologist
"redness, dry skin",Dermatologist
"fatigue, mild headache, loss of appetite",General Physician
"fever, fatigue, nausea",General Physician
"numbness, dizziness",Neurologist
"suicidal thoughts, panic attacks, mood swings",Psychiatrist
"shortness of breath, persistent cough, recurrent lung infections, weight gain, coughing blood",Pulmonologist
"weight gain, ear pain, fatigue",ENT Specialist
persistent cough,Pulmonologist
"nausea, weight gain, abdominal pain",Gastroenterologist
"fainting, palpitations",Cardiologist
"numbness, dizziness",Neurologist
"swelling after exposure, bloating",Allergist/Immunologist
"runny nose, nausea, fatigue, body ache",General Physician
weakness,Neurologist
"blisters, hives",Dermatologist
"eye discharge, floaters, fever",Ophthalmologist
"sneezing, wheezing, fatigue, hives, itchy eyes",Allergist/Immunologist
"cough, mild headache, runny nose",General Physician
"dry skin, hair loss",Dermatologist
"blood in stool, headache, heartburn",Gastroenterologist
"burning urination, penile discharge",Urologist
"weight gain, blood in urine",Nephrologist
"nausea, constipation",Gastroenterologist
"high creatinine, reduced urine output",Nephrologist
cough,General Physician
"fainting, chest pain, high blood pressure, palpitations",Cardiologist
"itching, redness, acne",Dermatologist
"unexplained weight loss, frequent urination, fatigue, cold intolerance, heat intolerance",Endocrinologist
mild headache,General Physician
"hearing loss, nasal congestion, hoarseness",ENT Specialist
diarrhea,Gastroenterologist
"hives, wheezing, swelling after exposure, runny nose",Allergist/Immunologist
"hives, itchy eyes, swelling after exposure, sneezing, floaters",Allergist/Immunologist
"redness, skin rash",Dermatologist
"mild headache, runny nose",General Physician
"palpitations, sweating, fainting, loss of consciousness",Cardiologist
"cough, nausea, loss of appetite, body ache, shortness of breath",General Physician
"nausea, fatigue",General Physician
"weight gain, chest tightness, wheezing",Pulmonologist
"tinnitus, hearing loss, weight gain",ENT Specialist
"acne, itching, redness, sweating",Dermatologist
"hallucinations, panic attacks, insomnia",Psychiatrist
"skin rash, itching, blisters",Dermatologist
"seizures, numbness, fever, memory loss, slurred speech",Neurologist
headache,Neurologist
"penile discharge, difficulty passing urine, dizziness, blood in urine",Urologist
"heavy bleeding, irregular periods, painful periods",Gynecologist
"itchy eyes, hives",Allergist/Immunologist
"frequent urination, dizziness, numbness",Urologist
"scaly patches, redness, dry skin, joint pain",Dermatologist
"chills, headache, sore throat, mild headache",General Physician
"blisters, scaly patches, skin rash",Dermatologist
"headache, body ache, cough, nausea",General Physician
"vaginal discharge, irregular periods, menstrual cramps",Gynecologist
"bone pain, joint pain, swelling",Orthopedist
foamy urine,Nephrologist
"headache, mild headache, cold, sweating",General Physician
skin rash,Dermatologist
"wheezing, swelling after exposure, sneezing, hives",Allergist/Immunologist
"penile discharge, difficulty passing urine, lower abdominal pain",Urologist
vomiting,Gastroenterologist
"burning urination, dizziness, blood in urine",Urologist
"stiffness, joint pain, limited range of motion",Orthopedist
"skin rash, hair loss",Dermatologist
"joint pain, swelling",Orthopedist
weight gain,Gastroenterologist
"shortness of breath, chest pain",Cardiologist
"itchy eyes, sneezing, fatigue",Allergist/Immunologist
headache,ENT Specialist
"chest pain, high blood pressure",Cardiologist
"hair loss, itching, redness",Dermatologist
"cold, fatigue",General Physician
persistent cough,Pulmonologist
"fever, nausea, mild headache, runny nose, fatigue",General Physician
"runny nose, sneezing, fatigue, hives, wheezing",Allergist/Immunologist
"dry skin, scaly patches, itching",Dermatologist
"flank pain, blood in urine, high creatinine, reduced urine output",Nephrologist
"sweating, high blood pressure, chest pain",Cardiologist
"headache, weight gain",ENT Specialist
"nausea, weight gain, heartburn, wheezing",Gastroenterologist
"itching, redness, dry skin",Dermatologist
"fatigue, chills, headache, loss of appetite",General Physician
"fever, frequent urination, penile discharge",Urologist
"ear pain, nasal congestion, tinnitus",ENT Specialist
"breast lump, pelvic pain, painful periods",Gynecologist
"unexplained weight loss, frequent urination, cold intolerance, excessive thirst",Endocrinologist
hives,Allergist/Immunologist
"sweating, shortness of breath, radiating arm pain",Cardiologist
"eye pain, red eye",Ophthalmologist
"chills, body ache",General Physician
"headache, memory loss, ear pain",Neurologist
"fever, blurred vision, sudden vision loss",Ophthalmologist
"back pain, stiffness, bone pain",Orthopedist
"headache, weakness, slurred speech",Neurologist
"fatigue, cough, chills",General Physician
eye pain,Ophthalmologist
"body ache, fatigue",General Physician
"headache, abdominal pain, diarrhea",Gastroenterologist
"fatigue, chills",General Physician
"seizures, headache",Neurologist
"hives, hair loss, blisters, redness",Dermatologist
"blisters, hair loss",Dermatologist
"acne, hair loss, reduced urine output",Dermatologist
"fatigue, sore throat",ENT Specialist
"nausea, vomiting, blood in stool",Gastroenterologist
"burning urination, dizziness, difficulty passing urine",Urologist
"redness, hives",Dermatologist
"recurrent lung infections, persistent cough, coughing blood",Pulmonologist
"fatigue, loss of appetite, sore throat, cough",General Physician
"sudden vision loss, red eye, eye discharge, eye pain, foamy urine",Ophthalmologist
"chills, runny nose",General Physician
"watering eyes, floaters, fever",Ophthalmologist
"irregular periods, painful periods, heavy bleeding, menstrual cramps",Gynecologist
"headache, runny nose",General Physician
swelling of legs,Cardiologist
blisters,Dermatologist
"hair loss, dry skin, scaly patches, acne",Dermatologist
"seizures, loss of consciousness",Neurologist
"runny nose, cough, mild headache, fatigue",General Physician
"painful periods, breast lump, irregular periods, vaginal discharge",Gynecologist
"heartburn, blood in stool, diarrhea, vomiting",Gastroenterologist
numbness,Neurologist
"acne, redness, blisters",Dermatologist
"abdominal pain, diarrhea, constipation, weight gain, high creatinine",Gastroenterologist
"cold, cough",General Physician
"itching, skin rash, scaly patches, acne",Dermatologist
"dry skin, scaly patches",Dermatologist
"mild headache, fatigue",General Physician
"fever, body ache, runny nose, headache",General Physician
"weight gain, nausea, vomiting, headache",Gastroenterologist
"chest pain, fainting",Cardiologist
"recurrent lung infections, weight gain",Pulmonologist
mild headache,General Physician
"radiating arm pain, palpitations",Cardiologist
"hives, acne, scaly patches, redness",Dermatologist
"sneezing, hives",Allergist/Immunologist
"blurred vision, sudden vision loss, floaters, fever",Ophthalmologist
"dry skin, redness, hair loss",Dermatologist
"loss of appetite, chills",General Physician
"cough, mild headache",General Physician
"nausea, chills",General Physician
"headache, body ache, runny nose",General Physician
"headache, runny nose, weight gain",ENT Specialist
"coughing blood, chest tightness, recurrent lung infections",Pulmonologist
"memory loss, dizziness, slurred speech",Neurologist
"loss of consciousness, seizures, headache, dizziness",Neurologist
"limited range of motion, swelling, back pain",Orthopedist
blood in urine,Nephrologist
"recurrent lung infections, coughing blood, shortness of breath, weight gain",Pulmonologist
"swelling after exposure, runny nose, sneezing",Allergist/Immunologist
"hair loss, redness, itching",Dermatologist
"vaginal discharge, irregular periods",Gynecologist
"hives, skin rash",Dermatologist
"seizures, headache, fever, weakness",Neurologist
"mild headache, chills, runny nose",General Physician
"heavy bleeding, vaginal discharge, hives",Gynecologist
"scaly patches, itching, frequent urination",Dermatologist
headache,General Physician
"sore throat, chills, cold",General Physician
"cold intolerance, frequent urination",Endocrinologist
cough,General Physician
"palpitations, shortness of breath, sweating, chest pain",Cardiologist
"joint pain, muscle weakness, swelling",Orthopedist
"unexplained weight loss, cold intolerance",Endocrinologist
"wheezing, hives",Allergist/Immunologist
"sneezing, runny nose",Allergist/Immunologist
"runny nose, nausea",General Physician
"swelling, stiffness, joint pain",Orthopedist
"limited range of motion, stiffness, penile discharge",Orthopedist
"pelvic pain, breast lump",Gynecologist
"fatigue, hoarseness",ENT Specialist
"diarrhea, vomiting, nausea",Gastroenterologist
"redness, hives, hair loss",Dermatologist
"chills, cold, runny nose, fatigue",General Physician
"mild headache, fever, cough, body ache",General Physician
"swelling of legs, chest pain",Cardiologist
"headache, seizures, fever",Neurologist
"hives, itchy eyes, runny nose",Allergist/Immunologist
"menstrual cramps, heavy bleeding",Gynecologist
"weight gain, blood in urine",Nephrologist
"fever, blood in urine, penile discharge",Urologist
"vomiting, diarrhea, abdominal pain",Gastroenterologist
"stiffness, back pain, limited range of motion, chest pain",Orthopedist
"shortness of breath, high blood pressure, hives",Cardiologist
"fever, fatigue, cough, unexplained weight loss",General Physician
"runny nose, headache, cold",General Physician
"fatigue, loss of appetite",General Physician
"palpitations, shortness of breath, swelling of legs",Cardiologist
"persistent cough, coughing blood, recurrent lung infections",Pulmonologist
"back pain, joint pain",Orthopedist
"fever, nausea, cough",General Physician
nausea,General Physician
"sore throat, fever, body ache",General Physician
cough,General Physician
"blood in stool, diarrhea",Gastroenterologist
"menstrual cramps, painful periods, irregular periods",Gynecologist
"seizures, weakness, slurred speech, memory loss, loss of consciousness",Neurologist
"weight gain, heat intolerance, excessive thirst",Endocrinologist
"nausea, bloating, heartburn, diarrhea, abdominal pain",Gastroenterologist
"redness, itching",Dermatologist
"heavy bleeding, menstrual cramps",Gynecologist
"itchy eyes, swelling after exposure, hives",Allergist/Immunologist
pelvic pain,Gynecologist
chills,General Physician
"radiating arm pain, swelling of legs, sweating, wheezing",Cardiologist
"heartburn, nausea",Gastroenterologist
"weight gain, constipation, hair loss",Gastroenterologist
"wheezing, chest tightness",Pulmonologist
"body ache, mild headache",General Physician
"insomnia, mood swings",Psychiatrist
"hives, scaly patches, acne",Dermatologist
"high blood pressure, fainting",Cardiologist
"tinnitus, hearing loss, fatigue",ENT Specialist
"redness, skin rash, acne",Dermatologist
"blood in stool, heartburn",Gastroenterologist
"joint pain, swelling, back pain",Orthopedist
"tinnitus, hoarseness, sore throat, ear pain",ENT Specialist
"sweating, palpitations, high blood pressure, cold",Cardiologist
"heat intolerance, excessive thirst, weight gain",Endocrinologist
"fever, watering eyes",Ophthalmologist
"loss of consciousness, weakness",Neurologist
"joint pain, swelling, bone pain",Orthopedist
"bloating, vomiting, constipation",Gastroenterologist
"frequent urination, blood in urine, penile discharge",Urologist
"fainting, sweating",Cardiologist
"chills, body ache, sore throat",General Physician
"fever, memory loss, headache, dizziness, weakness, insomnia",Neurologist
"limited range of motion, muscle weakness",Orthopedist
"floaters, watering eyes, sudden vision loss",Ophthalmologist
"redness, blisters, itching",Dermatologist
"joint pain, swelling, back pain",Orthopedist
"high blood pressure, chest pain, radiating arm pain, headache",Cardiologist
"sore throat, tinnitus, ear pain, hair loss",ENT Specialist
"chest pain, palpitations",Cardiologist
"persistent cough, recurrent lung infections, chest tightness, frequent urination",Pulmonologist
"cough, loss of appetite, mild headache, cold",General Physician
"fatigue, unexplained weight loss, painful periods",Endocrinologist
"joint pain, bone pain, muscle weakness",Orthopedist
"stiffness, joint pain, bone pain, limited range of motion",Orthopedist
"sore throat, hoarseness",ENT Specialist
"dizziness, loss of consciousness",Neurologist
weight gain,Gastroenterologist
"skin rash, scaly patches",Dermatologist
"cough, sore throat",General Physician
"blurred vision, sudden vision loss, red eye, watering eyes, fever",Ophthalmologist
"acne, redness, dry skin, blisters, slurred speech",Dermatologist
"cough, headache, fever",General Physician
"cold, sore throat",General Physician
"ear pain, weight gain, tinnitus, memory loss",ENT Specialist
"swelling after exposure, sneezing, hives, runny nose, itchy eyes",Allergist/Immunologist
"coughing blood, weight gain, persistent cough, recurrent lung infections",Pulmonologist
"slurred speech, numbness, loss of consciousness, fatigue",Neurologist
"recurrent lung infections, chest tightness, wheezing, persistent cough",Pulmonologist
blurred vision,Ophthalmologist
"frequent urination, blood in urine, dizziness, lower abdominal pain",Urologist
"body ache, back pain",General Physician
"swelling after exposure, runny nose, sneezing",Allergist/Immunologist
blisters,Dermatologist
"hair loss, dry skin, acne",Dermatologist
"fever, headache, fatigue",General Physician
"fatigue, nausea, cold",General Physician
"back pain, muscle weakness, swelling",Orthopedist
"tinnitus, ear pain, hearing loss",ENT Specialist
abdominal pain,Gastroenterologist
"high blood pressure, shortness of breath, palpitations, swelling of legs, fever",Cardiologist
runny nose,ENT Specialist
"weight gain, hearing loss",Endocrinologist
"tinnitus, hoarseness",ENT Specialist
"joint pain, bone pain, muscle weakness, limited range of motion, back pain",Orthopedist
"panic attacks, anxiety, body ache",Psychiatrist
"weakness, dizziness",Neurologist
"heavy bleeding, pelvic pain, joint pain",Gynecologist
"excessive thirst, heat intolerance, frequent urination, unexplained weight loss",Endocrinologist
"runny nose, wheezing, fatigue",Allergist/Immunologist
"joint pain, swelling",Orthopedist
"headache, sore throat, tinnitus",ENT Specialist
"fever, mild headache, sore throat, fatigue, cold",General Physician
shortness of breath,Cardiologist
"loss of appetite, headache, fever, nausea",General Physician
"muscle weakness, limited range of motion, bone pain",Orthopedist
"fever, loss of consciousness, dizziness",Neurologist
"cold, fever",General Physician
"recurrent lung infections, persistent cough, wheezing, coughing blood, chest tightness",Pulmonologist
"heavy bleeding, pelvic pain, vaginal discharge",Gynecologist
"abdominal pain, bloating, weight gain",Gastroenterologist
"constipation, blood in stool, diarrhea",Gastroenterologist
"blood in urine, fever, burning urination",Urologist
"painful periods, heavy bleeding, breast lump",Gynecologist
"wheezing, chest tightness, weight gain, recurrent lung infections",Pulmonologist
"anxiety, mood swings, insomnia",Psychiatrist
"loss of consciousness, memory loss, slurred speech",Neurologist
"nasal congestion, sore throat, hoarseness",ENT Specialist
"nausea, body ache, fatigue, cold",General Physician
"muscle weakness, bone pain, limited range of motion",Orthopedist
"high blood pressure, shortness of breath, palpitations, swelling of legs",Cardiologist
joint pain,Orthopedist
"cough, mild headache",General Physician
"excessive thirst, cold intolerance, unexplained weight loss",Endocrinologist
"cold, headache, fatigue",General Physician
"red eye, eye discharge, floaters, persistent cough",Ophthalmologist
"nausea, fatigue",General Physician
"mild headache, cold, sore throat, cough",General Physician
"breast lump, menstrual cramps",Gynecologist
"body ache, cough, runny nose, fever",General Physician
"heavy bleeding, painful periods, menstrual cramps, vaginal discharge",Gynecologist
"headache, ear pain, runny nose",ENT Specialist
"foamy urine, blood in urine",Nephrologist
"seizures, numbness, weakness, fever",Neurologist
"memory loss, seizures, numbness, headache",Neurologist
"fever, eye discharge",Ophthalmologist
mild headache,General Physician
"loss of consciousness, slurred speech, fever",Neurologist
penile discharge,Urologist
"bloating, blood in stool, constipation",Gastroenterologist
"blisters, acne, hives",Dermatologist
"bloating, heartburn, abdominal pain, redness",Gastroenterologist
"sudden vision loss, fever, eye pain",Ophthalmologist
"itchy eyes, swelling after exposure, wheezing, fatigue, sneezing, eye pain",Allergist/Immunologist
"swelling of feet, flank pain, weight gain",Nephrologist
"dry skin, redness",Dermatologist
"weight gain, sore throat",ENT Specialist
"muscle weakness, bone pain, headache",Orthopedist
"body ache, fatigue, runny nose, mild headache",General Physician
"fever, body ache, acne",General Physician
"heavy bleeding, pelvic pain, menstrual cramps, irregular periods",Gynecologist
"headache, cold, loss of appetite",General Physician
"dizziness, weakness",Neurologist
"hair loss, acne",Dermatologist
fatigue,General Physician
"heat intolerance, cold intolerance",Endocrinologist
"pelvic pain, painful periods, irregular periods",Gynecologist
"mild headache, fatigue, cough, chills",General Physician
"sore throat, nausea, persistent cough",General Physician
"joint pain, limited range of motion",Orthopedist
"fatigue, mild headache",General Physician
"fatigue, headache, ear pain",ENT Specialist
"blurred vision, sudden vision loss",Ophthalmologist
"vomiting, abdominal pain, headache, swelling of feet",Gastroenterologist
"redness, acne, hair loss",Dermatologist
"nausea, fever",General Physician
"fever, seizures, numbness, headache",Neurologist
"wheezing, sneezing, swelling after exposure",Allergist/Immunologist
"cough, mild headache",General Physician
"radiating arm pain, shortness of breath, chest pain",Cardiologist
"body ache, cough, radiating arm pain",General Physician
"menstrual cramps, pelvic pain",Gynecologist
"watering eyes, red eye",Ophthalmologist
"eye pain, fever, watering eyes, blurred vision",Ophthalmologist
"fatigue, fever, cough",General Physician
"watering eyes, red eye",Ophthalmologist
"weight gain, runny nose, red eye",ENT Specialist
"wheezing, itchy eyes",Allergist/Immunologist
foamy urine,Nephrologist
"fever, red eye",Ophthalmologist
"weight gain, cold intolerance, fatigue",Endocrinologist
"high blood pressure, shortness of breath, chest pain",Cardiologist
"wheezing, itchy eyes, hives, swelling after exposure, fatigue",Allergist/Immunologist
"irregular periods, painful periods, breast lump, vaginal discharge",Gynecologist
"painful periods, vaginal discharge",Gynecologist
"fatigue, sore throat, headache, chills",General Physician
"bloating, headache, blood in stool",Gastroenterologist
body ache,General Physician
"radiating arm pain, sweating, swelling of legs, panic attacks",Cardiologist
"itchy eyes, hives, depressed mood",Allergist/Immunologist
"hives, redness, scaly patches",Dermatologist
"constipation, abdominal pain, bloating",Gastroenterologist
"back pain, bone pain",Orthopedist
"palpitations, chest pain, heavy bleeding",Cardiologist
"floaters, eye pain, blurred vision",Ophthalmologist
back pain,Orthopedist
"itching, redness, skin rash",Dermatologist
"swelling, joint pain",Orthopedist
"swelling of legs, sweating, palpitations, frequent urination",Cardiologist
"sore throat, runny nose, nasal congestion",ENT Specialist
"joint pain, stiffness",Orthopedist
"mild headache, headache, cold",General Physician
swelling,Orthopedist
"pelvic pain, irregular periods, vaginal discharge, painful periods",Gynecologist
"wheezing, itchy eyes",Allergist/Immunologist
"frequent urination, fever, penile discharge, lower abdominal pain",Urologist
"headache, weight gain, tinnitus",ENT Specialist
"diarrhea, blood in stool, abdominal pain",Gastroenterologist
chest pain,Cardiologist
"bone pain, limited range of motion, muscle weakness",Orthopedist
"joint pain, bone pain, stiffness",Orthopedist
"weight gain, frequent urination, excessive thirst, cold intolerance",Endocrinologist
"frequent urination, unexplained weight loss",Endocrinologist
"chills, nausea, weight gain",General Physician
"heavy bleeding, pelvic pain",Gynecologist
"fatigue, ear pain, nasal congestion, weight gain",ENT Specialist
"hallucinations, fever, mood swings, anxiety",Psychiatrist
scaly patches,Dermatologist
"loss of appetite, mild headache",General Physician
"chest tightness, recurrent lung infections",Pulmonologist
"loss of appetite, headache",General Physician
"persistent cough, coughing blood, weight gain",Pulmonologist
"foamy urine, high creatinine, swelling of feet, weight gain",Nephrologist
"wheezing, shortness of breath, recurrent lung infections, mild headache",Pulmonologist
stiffness,Orthopedist
fever,General Physician
"numbness, seizures",Neurologist
"acne, dry skin, redness",Dermatologist
"seizures, weakness",Neurologist
"floaters, eye discharge, eye pain",Ophthalmologist
"hives, scaly patches, hair loss",Dermatologist
"memory loss, fever, seizures, red eye",Neurologist
"chest tightness, shortness of breath",Pulmonologist
"body ache, mild headache",General Physician
"sore throat, headache, hearing loss",ENT Specialist
"scaly patches, hair loss, weight gain",Dermatologist
"mild headache, cough",General Physician
"difficulty passing urine, blood in urine",Urologist
"foamy urine, swelling of feet, weight gain, flank pain, high creatinine",Nephrologist
"body ache, cold, cough, sore throat",General Physician
